#[AFISE]Type,ObjectType,[EntityType]KindID,DomainID,CountryID,CategoryID,SubCategoryID,SpecificID,ExtraID,Mil-2525,Range
DEFAULT_MISSILE,12,2,1,165,1,0,0,0,MISSILE,0
DEFAULT_MUNITION_LAUNCHER,17,1,1,165,28,0,0,0,MUNITION_LAUNCHER  ,0
DEFAULT_GENERAL_VEHICLES,4,1,1,165,27,0,0,0,GENERAL_VEHICLES  ,0
DEFAULT_TANK,3,1,1,165,1,0,0,0,TANK,0
DEFAULT_APC,3,1,1,165,2,0,0,0,APC,0
DEFAULT_ARTILLERY,3,1,1,165,4,0,0,0,ARTILLERY,0
DEFAULT_LIFE_FORM,6,3,0,0,0,0,0,0,LIFE_FORM,0
APC_BMP_1,3,1,1,99,2,1,0,0,APC,0
APC_BMP_2,3,1,1,99,2,2,0,0,APC,0
DEFAULT_HELICOPTER,2,1,2,165,23,0,0,0,HELICOPTER,0
DEFAULT_MILITARY_AEW,1,1,2,165,8,0,0,0,MILITARY_AEW,0
GMCC_C3I_SYSTEM,11,1,1,165,29,1,0,0,COMMAND_AND_CONTROL_CENTER,0
SMCC_C3I_SYSTEM,11,1,1,165,29,2,0,0,COMMAND_AND_CONTROL_CENTER,0
Rafale,1,1,2,99,1,9,1,0,FIGHTER,100
EXPENDABLE_CHAFF,16,8,2,165,1,0,0,0,EXPENDABLE,0
EXPENDABLE_FLARE,16,8,2,165,2,0,0,0,EXPENDABLE,0
EXPENDABLE_COMBINED_CHAFF_AND_FLARE,15,8,2,165,3,0,0,0,EXPENDABLE,0
EXPENDABLE_ACTIVE_EMITTER,15,8,2,165,4,0,0,0,EXPENDABLE,0
EXPENDABLE_PASSIVE_DECOY,16,8,2,165,5,0,0,0,EXPENDABLE,0
EXPENDABLE_WINGED_DECOY,15,8,2,165,6,0,0,0,EXPENDABLE,0
EXPENDABLE_SIGNAL_ILLUMINATION_FLARE,16,8,2,165,7,0,0,0,EXPENDABLE,0
EXPENDABLE_SMOKE_GENERATOR,16,8,2,165,8,0,0,0,EXPENDABLE,0
EXPENDABLE_SAR_NIGHT_LIGHT,16,8,2,165,13,0,0,0,EXPENDABLE,0
J10C,1,1,2,165,1,6,1,0,FIGHTER,100
DEFAULT_EXPENDABLE,16,8,0,0,0,0,0,0,EXPENDABLE,0
DEFAULT_PLATFORM,4,1,0,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_PLATFORM_LAND,4,1,1,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_PLATFORM_AIR,1,1,2,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_PLATFORM_SURFACE,5,1,3,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_PLATFORM_SUBSURFACE,5,1,4,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_PLATFORM_SPACE,1,1,5,0,0,0,0,0,DEFAULT_AIR,0
DEFAULT_MUNITION,17,2,0,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_AIR,12,2,1,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_ARMOUR,14,2,2,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_GUIDED_WEAPON,12,2,3,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_RADAR,11,2,4,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_SATELLITE,12,2,5,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_SHIP,12,2,6,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_SUBMARINE,12,2,7,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_ANTI_PERSONNEL,13,2,8,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_BATTLEFIELD_SUPPORT,13,2,9,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_STRATEGIC,13,2,10,0,0,0,0,0,MISSILE,0
DEFAULT_MUNITION_TACTICAL,13,2,11,0,0,0,0,0,MISSILE,0
DEFAULT_LIFE_FORM_LAND,6,3,1,0,0,0,0,0,LIFE_FORM,0
DEFAULT_LIFE_FORM_AIR,7,3,2,0,0,0,0,0,LIFE_FORM,0
DEFAULT_LIFE_FORM_SURFACE,6,3,3,0,0,0,0,0,LIFE_FORM,0
DEFAULT_LIFE_FORM_SUBSURFACE,6,3,4,0,0,0,0,0,LIFE_FORM,0
DEFAULT_LIFE_FORM_SPACE,6,3,5,0,0,0,0,0,LIFE_FORM,0
DEFAULT_ENVIRONMENTAL,9,4,0,0,0,0,0,0,DEFAULT,0
LY_80_FIRE_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,6,1,0,COMMAND_AND_CONTROL_CENTER,85
DEFAULT_CULTURAL_FEATURE_SURFACE,8,5,3,0,0,0,0,0,CULTURAL_FEATURE,0
DEFAULT_CULTURAL_FEATURE_SUBSURFACE,8,5,4,0,0,0,0,0,CULTURAL_FEATURE,0
DEFAULT_CULTURAL_FEATURE_SPACE,8,5,5,0,0,0,0,0,CULTURAL_FEATURE,0
HQ_9P_MUNITION_LAUNCHER,17,1,1,165,28,2,2,2,MUNITION_LAUNCHER,3
DEFAULT_RADIO,18,7,0,0,0,0,0,0,DEFAULT,0
DEFAULT_EXPENDABLE_LAND,16,8,1,0,0,0,0,0,EXPENDABLE,0
DEFAULT_EXPENDABLE_AIR,16,8,2,0,0,0,0,0,EXPENDABLE,0
DEFAULT_EXPENDABLE_SURFACE,16,8,3,0,0,0,0,0,EXPENDABLE,0
MISSILE_AS_30,12,2,6,165,1,5,0,0,MISSILE,0
DEFAULT_EXPENDABLE_SPACE,16,8,5,0,0,0,0,0,EXPENDABLE,0
DEFAULT_SENSOR_EMITTER,11,9,0,0,0,0,0,0,SENSOR_EMITTER,0
DEFAULT_SENSOR_EMITTER_LAND,11,9,1,0,0,0,0,0,SENSOR_EMITTER,0
DEFAULT_SENSOR_EMITTER_AIR,11,9,2,0,0,0,0,0,SENSOR_EMITTER,0
DEFAULT_SENSOR_EMITTER_SURFACE,11,9,3,0,0,0,0,0,SENSOR_EMITTER,0
DEFAULT_SENSOR_EMITTER_SUBSURFACE,11,9,4,0,0,0,0,0,SENSOR_EMITTER,0
DEFAULT_SENSOR_EMITTER_SPACE,11,9,5,0,0,0,0,0,SENSOR_EMITTER,0
HQ_16_MUNITION_LAUNCHER,17,1,1,165,28,3,2,0,MUNITION_LAUNCHER,0
CROTALE_MUNITION_LAUNCHER,17,1,1,165,28,4,1,0,MUNITION_LAUNCHER,3
MISSILE_LY_80,12,2,1,165,1,5,1,0,MISSILE,0
MISSILE_CROTALE,12,2,1,165,1,6,0,0,MISSILE,0
MISSILE_MISTRAL,12,2,1,165,1,7,0,0,MISSILE,0
MISSILE_FN_16,12,2,1,165,1,8,0,0,MISSILE,0
MISSILE_FN_6,12,2,1,165,1,9,0,0,MISSILE,0
MISSILE_QW_18,12,2,1,165,1,10,0,0,MISSILE,0
MISSILE_SA_3_GOA,12,2,1,99,1,4,0,0,MISSILE,0
MISSILE_S400,12,2,1,99,1,3,1,0,MISSILE,0
HQ_9_COMMAND_AND_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,2,1,0,COMMAND_AND_CONTROL_CENTER,0
HQ_16_COMMAND_AND_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,3,1,0,COMMAND_AND_CONTROL_CENTER,0
HQ_16_FIRE_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,3,3,0,COMMAND_AND_CONTROL_CENTER,115
HQ_16_DETECTION_CENTER,11,1,1,165,28,3,4,0,DETECTION_CENTER,80
CROTALE_DETECTION_CENTER,11,1,1,165,28,4,2,0,DETECTION_CENTER,8
LIFE_FORM_DEFAULT_PAKISTAN_ARMY_SOLDIER,6,3,1,165,11,1,0,0,LIFE_FORM,0
LIFE_FORM_MANPADS_FN_6,6,3,1,165,11,85,3,0,LIFE_FORM,0
LIFE_FORM_MANPADS_FN_16,6,3,1,165,11,85,4,0,LIFE_FORM,0
LIFE_FORM_MANPADS_QW_18,6,3,1,165,11,85,5,0,LIFE_FORM,0
LIFE_FORM_MANPADS_MISTRAL,6,3,1,165,11,85,15,0,LIFE_FORM,0
LIFE_FORM_DEFAULT_MANPADS,6,3,1,165,11,85,0,0,LIFE_FORM,0
DEFAULT_SIMULATION_OBJECT,1,0,0,0,0,0,0,0,DEFAULT,0
Boeing_KC_777,1,1,2,99,4,2,0,0,MILITARY_CARGO_TANKER,0
PHALCON_AWACS,1,1,2,99,8,3,0,0,MILITARY_AEW,200
P3C_ORION_ASW,1,1,2,165,5,2,0,0,MILITARY_AEW,0
TPS_77_MRR_RADAR,11,12,25,2,104,178,4031,4084,RADAR,240
TPS_77_MRR_RADAR,11,9,1,165,2,1,1,0,RADAR,240
GS_100_RADAR,11,9,1,99,2,1,1,0,RADAR,115
ROHINI_RADAR,11,9,1,99,2,2,1,0,RADAR,115
MASTER_T_RADAR,11,9,1,99,2,2,2,0,RADAR,240
ATCR_RADAR,11,12,25,2,104,178,260,258,RADAR,80
ATCR_RADAR,11,9,1,99,2,2,3,0,RADAR,80
ARUDHRA_RADAR,11,9,1,99,2,2,4,0,RADAR,215
SURFACE_DDG_DELHI,5,1,3,99,4,1,0,0,DESTROYER,0
SURFACE_DDG_KOLKATA,5,1,3,99,4,3,0,0,DESTROYER,0
SURFACE_CARRIER_KUZNETSOV_CLASS,5,1,3,222,1,3,0,0,SURFACE_CARRIER,0
MI35HindE,2,1,2,165,20,1,1,0,HELICOPTER,0
SURFACE_OIL_TANKER,5,1,3,165,82,5,0,0,SURFACE_TANKER,0
SURFACE_FFG_ZULFIQUAR_CLASS,5,1,3,165,6,1,0,0,FRIGATE,0
ARTILLERY_K9_VAJRA,3,1,1,99,4,1,0,0,ARTILLERY,0
SURFACE_CARRIER_VIKRAMADITYA_CLASS,5,1,3,99,1,1,1,0,SURFACE_CARRIER,0
LIFE_FORM_PILOT,6,3,1,0,0,0,0,0,LIFE_FORM,0
DEFAULT_BOMB,13,2,0,0,0,0,0,0,BOMB,0
DEFAULT_DETECTION_CENTER,11,1,1,165,28,5,1,0,DETECTION_CENTER,115
DEFAULT_FIRE_COMMAND_AND_CONTROL_CENTER,4,1,1,165,28,5,2,0,COMMAND_AND_CONTROL_CENTER,80
DEFAULT_TRAINER,1,1,2,165,40,0,0,0,DEFAULT,0
DEFAULT_C3I_SYSTEM,4,1,1,165,29,0,0,0,DEFAULT,0
DEFAULT_SURFACE_TANKER,5,1,3,165,82,0,0,0,SURFACE_TANKER,0
DEFAULT_SURFACE_CARRIER,5,1,3,165,1,0,0,0,SURFACE_CARRIER,0
DEFAULT_SURFACE_GUIDED_MISSILE_DESTROYER,5,1,3,165,4,0,0,0,DESTROYER,0
DEFAULT_SURFACE_GUIDED_MISSILE_FRIGATE,5,1,3,165,6,0,0,0,FRIGATE,0
JF17_B3,1,1,2,165,1,2,4,0,FIGHTER,70
HAL_Tejas,1,1,2,99,1,1,1,0,FIGHTER,50
JF17_B2,1,1,2,165,1,2,2,0,FIGHTER,55
JF17_B2B,1,1,2,165,1,2,3,0,FIGHTER,55
MISSILE_MAGIC_R_550,12,2,1,165,1,12,0,0,MISSILE,0
MISSILE_PL15,12,2,1,165,1,13,1,0,MISSILE,0
MISSILE_PL5_IR,12,2,1,165,1,13,2,0,MISSILE,0
MISSILE_PL10_IIR_HOBS,12,2,1,165,1,13,3,0,MISSILE,0
MISSILE_AIM_9M,12,2,1,165,1,1,2,0,MISSILE,0
MISSILE_AIM_120_D,12,2,1,165,1,2,5,0,MISSILE,0
MISSILE_AIM_120_C7,12,2,1,165,1,2,4,0,MISSILE,0
MISSILE_SD_10A,12,2,1,165,1,14,0,0,MISSILE,0
MISSILE_METEOR,12,2,1,99,1,5,0,0,MISSILE,0
MISSILE_ASTRA,12,2,1,99,1,6,0,0,MISSILE,0
MISSILE_AA_12,12,2,1,99,1,7,1,0,MISSILE,0
MISSILE_AA_11,12,2,1,99,1,7,2,0,MISSILE,0
MISSILE_Mica_RF,12,2,1,99,1,8,1,0,MISSILE,0
MISSILE_Mica_IIR,12,2,1,99,1,8,2,0,MISSILE,0
MISSILE_ASRAAM,12,2,1,99,1,9,0,0,MISSILE,0
MISSILE_PYTHON5,12,2,1,99,1,10,0,0,MISSILE,0
