#DIS Enumerations
#Author,Iqra Khan
#Created DateTime,28/11/2024 3:57:36 pm
#Comments,Added new missiles; Rudram 1, Rudram 2, Rudram 3
#
#[AFISE]Type,Name,Code,HexValue,[EntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,[AlternateEntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,Description,RCS
#Start
Mig21,Mikoyan MIG-21 Fishbed,7011,0x1B63,1,Platform,2,Air,99,India,1,Fighter/Air Defense,3,Mig-21,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,3
Mig23,Mikoyan MIG-23 Flogger,7012,0x1B64,1,Platform,2,Air,99,India,1,Fighter/Air Defense,4,Mig-23,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,3
Mig25,Mikoyan MIG-25 Foxbat,7013,0x1B65,1,Platform,2,Air,99,India,1,Fighter/Air Defense,5,Mig-25,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
Mig27,Mikoyan MIG-27 Flogger,7014,0x1B66,1,Platform,2,Air,99,India,2,Attack/Strike,4,Mig-27,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
Mig29,Mikoyan MIG-29 Fulcrum,7015,0x1B67,1,Platform,2,Air,99,India,1,Fighter/Air Defense,7,Mig-29,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,4
Su30MKI,Sukhoi Su-30 MKI,7016,0x1B68,1,Platform,2,Air,99,India,1,Fighter/Air Defense,8,Su-30 MK I,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,12
Jaguar,Jaguar Jet,7017,0x1B69,1,Platform,2,Air,99,India,2,Attack/Strike,1,HAL Jaguar,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,10
Harrier,Harrier Jet,7018,0x1B6A,1,Platform,2,Air,99,India,2,Attack/Strike,3,Harrier,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,10
IAIHeron,IAI Heron UAV,7501,0x1D4D,1,Platform,2,Air,99,India,50,Unmanned,1,IAI Heron,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
IAISearcher,IAI Searcher,7502,0x1D4E,1,Platform,2,Air,99,India,50,Unmanned,2,IAI Searcher,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
